Title,Artist
Sukumbaasi,Sajjan Raj Vaidya
Suna Baatuli,Kali Prasad Baskota
Katai Uslai,Bipul Chettri
Nau Lakhey Tara,Bipul Chettri
Yestai Nai Hola,Phosphenes
Mellow,Sajjan Raj Vaidya
Neela Akash,Bipul Chettri
Tattoo,Ulto Pulto
Yaadharu,Ankit Shrestha
Dubo Phulyo,Hemanta Rana
Laijau Malai,Abhaya & The Steam Engines
Jham Jham,Kta Haru
Ali Ali,LOWA
Nachana Fanana,LOWA
Paisaa,Kushal Grumpy
"Topendra, Pt. 2",Chirag Khadka
Fewataal,Yabesh Thapa
Samadhi,Chirag Khadka
Aa Budi,Chirag Khadka
Ganja Ko Sahara,Bikyy Karki
Chihan Ki Pari,Shirish Khadka
Saathi (60),Mt.8848
Maski Maski,Mt.8848
"Thamel Bazar - From ""Loot 2""",Kali Prasad Baskota
Bhawana,Jptrockerz
Samaya Ley,John Rai
Dekhe Timilai Hijo,The Axe
Daagbatti,Rachana Dahal
Bhawana,Rockheads
Ma Sansar Jitne,Sabin Rai
Maryo Ni Maryo,Cobweb
Sapphire,Ed Sheeran
Aankha Aankha Bichma,Ekdev Limbu
Chiso Chiso,Brijesh Shrestha
Likka Likka,UJAN SHAKYA
Mutu Mai Basecha,Brijesh Shrestha
Numbara,Brijesh Shrestha
Maya,Balen
Fikka Fikka,Swoopna Suman
la bhana,Salil Maharjan
Fast Pace,Salil Maharjan
Anaavashyak,Samir Shrestha
Ma Aaudai Chhu,Utsav Lamichhane
Ali Ali,Shreya Sotang
Asan Twa (Nepal Idol Season 6) - Live,Raaz Sayami Manandhar
Atteri,Sushant KC
NILA NILA AAKASHMA,Bluesss
Plan B,Sushant KC
Rangin,Sushant KC
Euta Sapana Chha - Male Version,Pushpan Pradhan
Dherai Din Pachi,Utsav Lamichhane
Kya Kardiya,Sushant KC
Khali,Bikki Gurung
Mayalu,Swoopna Suman
Chahana,Yugal Gurung
Saajha Ma Aunu (Maya ko Chino),Neetesh Jung Kunwar
Phul Butte Sari Female,Milan Newar
Uda Timi,Simma Rai
Eutai,Salil Maharjan
I Like You (Anischaya),Sushant KC
Kya Ramri,Ekdev Limbu
Kathmandu Sahar,Trishala Gurung
Afno Sansaar,Yugal Gurung
Mughlan,Bipul Chettri
Sirful-2,Ness Stds
First Date (Pahilo Bhet),Neetesh Jung Kunwar
Nayan Ma,Rohit John Chettri
Bidaai,Rohit John Chettri
1000 Bhawana,Salil Maharjan
Yo Maan,Trishala Gurung
Khula Aakash - Acoustic,Astha Tamang-Maskey
Muse,Astha Tamang-Maskey
Nasodha Malai,Swoopna Suman
Yehi Nai Ho K Maya,Bikki Gurung
Ghumi Phiri,Sajjan Raj Vaidya
Aaja Samma,Bikki Gurung
Arko Barsa,Bluesss
Mero Prem,AXIX
Ek Choti,AXIX
Saat Samundra Pari,AXIX
Maya Ma,Purna Rai
Malaai Chaana Na,Sajjan Raj Vaidya
Timi Kaha (In the studio),Alex Dware
A love letter to Darjeeling,Purna Rai
Swarga,Purna Rai
CHAAK,Purna Rai
Chitthi timilai lekhu vanchu,Bibash Jk
"Makhamali - From "" Oonko Sweater[The Woolen Sweater]""",Sujan Chapagain
Mayali Panche Baja,Basanta Thapa
Gorkhe Khukuri,Nischal Dawadi
DUSMAN HEREKO HERAI,Durgesh Thapa
Sajha Paryo Jhamakka (Original Motion Picture Soundtrack from Basanta),Prakash Saput
Maya Lai Panko Pat,Khem Century
RAIYA CHANDIKO (Purna Bahadurko Sarangi),7Seas Cinema
Kasmire Pachhyauri,Babu Krishna Pariyar
Jam Saili,Bimata Gharti Magar
Baseu Alakkai,Arjun Sapkota
Maya Aaune Bas,Diplove Khati
Namaste Dhogdiya,Kabita Khatri
Dukha Satamla Sukha Satamla,Arjun Sapkota
A Aama Jaam Bhanyo Malai,Rita Thapa Magar
Ghar Kata Ho Bainiko,Prakash Dutraj
Chauka Dau,Babu Krishna Pariyar
Meso Milayera,Nishan Bhattarai
Nirajale _ Uta Pareli Jhim Jhim bho,Hemant Sharma
Dandaghare Saili,Krishna KC
Jam Bho Maili,Prakash Dutraj
Syaula,Rajkumar Magar
Galbandi,Prakash Saput
Choli Mailai Bho,Prakash Dutraj
Man Bhulchha,Prakash Dutraj
Kahako Saino,Bimal Pariyar
Nirmaya Thuli,Laxmi Malla
Man Pareko Manchhe,Khem Century
Unko Priti,Narayan Rayamajhi
Ram Ram Marauti,Netra Aryal
Solti Bazar,Nischal Dawadi
Tirkha Lage,Deepa jha
Jiban Jatra Ho,Kali Prasad Baskota
Tungna Ko Dhunma,Indrajeet Mijar
A Hora Maya,Bimal Adhikari
Satta Dau,Babu Krishna Pariyar
Deuralima,Prakash Dutraj
Ek Kaan Dui Kaan Maidan,Melina Rai
Ko Hola Tyo,Sunil Giri
Bajho Khetma,Prem Raja Mahat
Ukali Chadaula,Uday Sotang
Gairi Khet Ko,Shambhujeet Baskota
Dherai Maya,Arjun Nepali
Soltini Bhani Bolako,Sunil Giri
Fula Mayama Nabhula,Raju Rd
Kura Katne Manchhe,Eleena Chauhan
Kati Baschhau Maitikai Kausima,Himal Shrestha
Raja Rani,Babu Krishna Pariyar
Baini Jhyalaima,Prakash Dutraj
"Rato Tika Nidhar Ma (From ""Rato Tika Nidhar Ma"")",Melina Rai
Jaam Sustai,Basanta Thapa
Salko Patko Tapari,Basanta Thapa
Mohini,Khem Century
Rimai,Prakash Dutraj
DHADING GAJURI,Basanta Thapa
Jhaliko Aayo,Nar Bhadur Achrya
Ma Ta Dhale Dhale,Shanta Rani Pariyar
Ma Ta Baglung Binamareko,Tejash Regmi
Mai Luri,Priya Bhandari
Jaau Saili Beni Bajar,Hemanta Kanchha Rasaily
Ramdi Tarera,Prakash Parajuli
Kina Lajaki,Khem Century
Sun Ho Ki Falam,Durgesh Thapa
Nasodha Pir Ke Ko,Arjun Sapkota
Bandipuraima,Prem Raja Mahat
Kali Tarera,Rameshwor dhakal
Nandani,Sapana Roka
Timro ta yo duniya chha,Khem Century
Areli Kadaile Malai Chwassai,Shanti Shree Pariyar
Chhutnalai Po Raichha kyare,Thaneshwor Gautam
Sakambari,Prakash Saput
Bar Sukeko,Basanta Thapa
Jun Maya,Prakash Dutraj
Daram Khola,Basanta Thapa
Phoola Hajara,Bimata Gharti Magar
Relimai,Basanta Bishwokarma
Bal Garera,Swaroop Raj Acharya
Nirmohi,Rupa Gharti Magar
Bhir Mahuri,Basanta Thapa
Jobana,Basanta Thapa
Hunna Ra,Nirmala Bhandari
Damai Maharaj,Prakash Saput
Pattako ke jhora,Priti Ale
Chyappa Prabate Maya,Prabesh Poudel
Lahur,Khem Century
Hunchha Bhana,Basanta Thapa
Kata Hineko Sailo Dai,Ramesh Pariyar
Jham Jham Jhamkana,Bhagirath Chalaune
Jantai Jamla,Pashupati Sharma
Pir,Prakash Saput
Kholi Tari Deuna Majhi Dai,Shanti Shree Pariyar
Mutuma Khil Basyo,Nisha KC
Timra Yaad Haru,Thaneshwor Gautam
Na Dosh Timro - Male Vocals,Namku Chaudhary
Euta Katha,Thaneshwor Gautam
Nabhana Bideshi,Prakash Saput
Kapalu Korera Nepali Lok Dohori Song 2021,Samjhana Bhandari
Mata Gaule Thito,Basanta Thapa
Chautariko Bara,Basanta Thapa
Jham Jham,Pashupati Sharma
Kyarna Maya Marichau (feat Pashupati Sharma) [Nepali Lok Dohori Song 2021],Samjhana Bhandari
Aauthi Beruwako Lok Dohori Song,Samjhana Bhandari
Hataika Paujale,Kushal Belbase
Kapalu Korera by Samjhana Bhandari | Khem Century,Samjhana Bhandari
Prana Bhanda Pyaro Chha,Basanta Thapa
Banaima Phool,Bimal Shreepali
Ram Ram Marauti,Khem Century
Fasayeuni Mitho Bolera,Karan Raj Karki
Lalumai,Bishnu Majhi
Jhyalma Parda Chha,Khem Century
Raja Rani,Shanti Shree Pariyar
Chauka Dau,Shanti Shree Pariyar
Bola Maya,Prakash Saput
Bhetai Hunna Ki?,Devendra Bablu
GHASA KATAU KHOLI DOBANA,Samjhana Bhandari
Dil Dukho,Devendra Bablu
Manmaya,Devendra Bablu
Astai Ho Sansara,Khem Century
Salko Patko,Rasham
Pachheuri Lisyo,Arjun Sapkota
Ukhu Pele Khundo,Eak Narayan Bhandari
Phalam Pite Tarbar,Bhagirath Chalaune
Sochejhai Jindagi,Khem Century
Bicha Bichama 4 (Khayasa Putali),Durgesh Thapa
Salko Patako Tapari,Kulendra Bishwakarma
Maya Haseko,Basanta Thapa
Bokejhar,Basanta Thapa
Banki Chari,Arjun Sapkota
Baimanile Dhatyo,Pashupati Sharma
Futeka Chura,Prakash Saput
Sannanile,Narayan Rayamajhi
Bhirni Jholama,Krishna Akheli
Yeta Tirkha,Pashupati Sharma
Pidalu,Bishnu Majhi
Najarai Ko Bhara,Shirish Devkota
Rumal Hallai Hallai,Kulendra Bishwakarma
Bhururu Putali Udyo,Devi Gharti
Dadai Furke Sallo,Kulendra Bishwakarma
Mero pani hoina ra yo desh,Prakash Saput
Bihe Nagara Bhaiho,Devi Gharti
Herna Hai Batuli,Devi Gharti
Yo Manchhe Chinchhau?,Khuman Adhikari
Joon Tara Ko,Bishnu Majhi
Chiso Chiso Hawa,Muna Thapa Magar
Paderima,Kulendra Bishwakarma
Tasbirai Jhalla La,Kastup Panta
Banma Kada Chha,Bhagwan Bhandari
Mero Pani Haina Ra Yo Desh,Prakash Saput
Salaijo,Mohan Gurung
Jam Bhane Ta,Pashupati Sharma
Balla Po Peer Parnathalyo - Male Vocals,Pashupati Sharma
Bicha Bichama (Kacho Katara),Durgesh Thapa
Musukka Hasa,Devendra Bablu
Keta Le Gaye,Pashupati Sharma
"Salaijo, Pt. 1",Binu Tamang
Mero Maya Baseko Gauma,Samjhana Bhandari
Ma Ta Parkheko Parkhai Chhu,Devendra Bablu
Rumal Satna Pardaina,Khem Century
Aauthi Beruwako by Samjhana Bhandari | Khem Century,Samjhana Bhandari
Kyarna Maya Marichau,Samjhana Bhandari
Maya Haseko,Pralhad Subedi
Laltin,Bishnu Majhi
Basayo Banaima Phula,Lil Hamal
Gailai Charaudai-Paat Bajaune Mayalai,Prem Raja Mahat
Launa Ni Bhaiya,Shanti Shree Pariyar
Salko Pat Udayo Batasaile,Basanta Thapa
Lekhideu Timro Nam,Premdhoj Pradhan
Sano Prakash,Atomic Bush
Ghumti Ma Naau Hai,Prem Dhoj Pradhan
Ye Jhari,Nabin K Bhattarai
"Gojima Daam Chaina (From ""Changa Chet"")",Rajan Raj Siwakoti
Teenpatey - Dekhera Timi Lai,ArtMandu
Taato Goli,Mahesh Kafle
Yo Naniko Siraima,Bidhan Shrestha
Fulachokiko Dandama,Kandara Band
Chahana,Nabin K Bhattarai
Yati Dherai Maya Die,Deepak Jangam
Kanchi Hey Kanchi - Original,Tilok Newar
Allare,Deepak Bajracharya
For My Love,Rockheads
Timi Royeko Pal,Sugam Pokharel
Sajha Ko Bela,Trishna Gurung
Yaad Sanchi-Samjhana,Nabin K Bhattarai
Komal Tyo Timro,Sabin Rai
Lagi Lagi,Budha Subba
Timro Maan Ma,Melina Rai
Mero Nepal,Raju Lama
Gurans Fulyo,Phiroj Shyangden
Rituharuma Timi,Arun Thapa
Herda Ramro,Kumar Basnet
Chiya Bari Ma,Hira Rasaily
Sapana Bhai Aankhama,Sadhana Sargam
Lampate Surati,Amrit Gurung
Dhalkyo Dhalkyo,Deepak Limbu
Chhatima Mero,Kshetra Gurung
Kahile Timro Pachhaurima,Udit Narayan
Gajalu Ti Thula Thula Ankha,Gulam Ali
Resamm Phiriry (Trekking Song),Bharat Nepali Party
Aaja Hamro Bhetbhako,Udit Narayan
Kina Kina Timro Tasbir,Gulam Ali
Timi Aaja Bholi,Sudip Giri
Tutnu Thiyo Tutyo Mutu,Sudip Giri
Dina Timilai,Mystic East
Timilaai Dekhera,Raju Lama
Chyangba Ho Chayangba,Gopal Yonjan
Hongkong Pokhara,Kandara Group
Sarara,Brijesh Shrestha
Phul Butte Sari Male,Marmik Lama
Chhekyo Chhekyo,Nepathya
Sath Juni,The Dreamcatchers Official
Baby Ko Mommy,Neetesh Jung Kunwar
Dhardhari Bagne,Jhalak Man Gandharba
Jomsome Bazarma,Rakchha Gurung
Tadha Vaye Pani Female Version - Kendra Motion Pictures,Asmita Adhikari
Mohajaal,Jptrockerz
Chiya Barima,The Axe Band
Sodhyo,Jptrockerz
Anoutho,Angu Bhutia
Lamjunge Dadaima Hawa Sarara (जता छ निरमाया उतै नजर),Jibihang Rai
Ekai Nazarma - Remix,Deepesh Kishor Bhattarai
Timi Pari,Kandara Band
JPT,Andazification
Tolai Baschu,Ethos Band
Saya Thari Baaja,Kutumba
Bhanna Sakinna,Neetesh Jung Kunwar
chyang'dung,ghugu'mugu
Pinjadako Suga,Adrian Pradhan
Kanchi Nani,Mukti & Revival
Vanna Aaudaina (Kripa Unplugged),Naren Limbu
Bhanekai,Sugam Pokharel
Chaubandi Cholo,Phiroj Shyangden
Antim Maya,Naren Limbu
Maya Ko Bato,Sugam Pokharel
Sanjhako Joon,Mukti & Revival
Chundaina,1974 A.D
Sarkari Jagir,Kranti Ale
Timro Mood,DJ Bishow
Maya Jalaima,Lil Jhola
BABAL,Nawaj Ansari
Nepalese Rapper,OMG SPARK
Wagwan (Intro),Jamesy
Kharab Bani,Yodda
Case No. 420,Laure
Gaadha Color,Nawaj Ansari
Nepalese Brilliance,OMG SPARK
AMSTERDAM,Jamesy
La La La La (Remix),Bluesss
Mari Jaulo,YABI The G.O.A.T
Jungle Ko Bhoot - Radio Edit,Nawaj Ansari
Kasto Chha Timilai,TUKI MUSIC
Heavy,Uniq Poet
Haude,Laure
RAUSI LAYO,Jamesy
Kefal Haluk,Nawaj Ansari
Kehi Mitho Baat,SACAR aka Lil Buddha
Valley Jamz,OMG SPARK
Mero Solta,Laure
1994,Uniq Poet
India,ST MAN
Churot Ko Thutta,Nawaj Ansari
Laal Gaadi,YABI The G.O.A.T
Speed,Chirag Khadka
Mero Desh Birami,Uniq Poet
No Peace In Love,SACAR aka Lil Buddha
Bagawat,Nawaj Ansari
No Keezy,Purple
Birsina,Yodda
Mausam,Sushant KC
3 Dinchu,Rigden Nadik
Genji,Nawaj Ansari
Vagwan,YABI The G.O.A.T
Rebirth,Neetesh Jung Kunwar
Mathi,OMG SPARK
Sahi Ho,Yabesh Thapa
Laure Ko Fashion,VTEN
Vim Saboon,Nawaj Ansari
Straight Outta Kathmandu,Bluesss
Suruwat,Yodda
Made in Nepal,OMG SPARK
Kaha Chau,YABI The G.O.A.T
Juneli Raatma,Krizn
PAARAA,VTEN
Galli Sadak,VTEN
Yo Prasanga,Yama Buddha
Aago Ko Jhilko,Chirag Khadka
King Of NEPHOP,Lil Buddha
Kehi Mitho Baat,Lil Buddha
Gospel Of The New Revolution,Lil Buddha
Ravana,Dong
Sapana,Lil Buddha
Kathaa,VTEN
100,Lil Buddha
Haalkhabar,VTEN
Simsime Paani,VTEN
Yestai Ta Ho Ni Bro,VTEN
Churot,VTEN
CRMNL,VTEN
Antya Ko Suruwat,Yama Buddha
Superraga,Laure
On My Way,VTEN
Maanchhe Khattam,VTEN
Saino Tapai,Yodda
Chudaina,Nepsydaz
Pariracha Pani,Chirag Khadka
Kale,beatsbyhype
Kaalo 2.0,Uniq Poet
Aama,Yama Buddha
Nephop Ko Bato,Laure
Balidan,Balen
Legend,Mc Flo
Saathi Ho,Laure
Thikai Chaa,Andazification
Raat Vari,GXSOUL
Life Jacket,Chirag Khadka
Goppey,Yodda
Jutta Maa,Yama Buddha
Thaa Chaina,VTEN
Bhumari,Chirag Khadka
MOKSHYA Falafal,Nabin Khanal
Gyan Gati Cypher,Vyoma
Big Dawgs,Hanumankind
Tha Chaina,VTEN
Yatra,VTEN
Dolla Bills,VTEN
Chup Laag,Laure
Sapaara,Vyoma
Afnai Bato,VTEN
Namaskar,Pakku Panda
Dhaka Dhoti,Vyoma
Atti Bho,Vyoma
Kaam Chaina,Pakku Panda
Aama,Pakku Panda
Kaam Chhaina 2,Pakku Panda
Bhai Lai Reply,Pakku Panda
Doshi Ma,Pakku Panda
Galli,Pakku Panda
Saman Nikal,DJ Bishow
Maichang,Jay Author
Falling for You,James Shrestha
Hassa,Chirag Khadka
Sakaratmakta,Chirag Khadka
Makassam,VTEN
Kaalo - Purple Melody Mix,Uniq Poet
Cypher,VTEN
Ma Pa Se,Mana Shrestha
Superstar,VTEN
Nepali Ho,Raila Roka
Hindai Chhu Ma,VTEN
KAAM,Uniq Poet
Bihani Saberai,Yodda
Lilac Fashion - Remix,LIL Rock Look
Quarantine,Jay Author
Chance,Jay Author
Come Up,Jay Author
Gorkhali Toph,Balen
Sarauto,VTEN
Muse Ko Chora,ST MAN
"La Hai, La Hai",Laure
Fuck Song,Vek
Dulce,YerSodeep
Lilac Fashion,LIL Rock Look
Marpha Ko Madira,Balen
Haalchaal,Jojo Raka
Sano huda,Jojo Raka
SADAK - Extended Version,Krizn
Psychedelic Rap,Chirag Khadka
Arthahin Duniya,Chirag Khadka
Bartalaap,Sailesh Niroula
Ram Narayan Yadav,Sailesh Niroula
Vip Sawari,Sailesh Niroula
Kalley Bhanyo Talai (Bandai Chha Nepal 2),Mr. D
Wild,Mr. D
Aghi Hida,Mr. D
Yo Timlay Garda Ho (James Shrestha),GXSOUL
La Ta Ma Ta,Manas Ghale
Jani NAW Mani,Rigden Nadik
2014,VTEN
Birami,Laure
Lil Rock Look Flow,LIL Rock Look
Saamrajya,Nawaj Ansari
STACKKK,SACAR aka Lil Buddha
NEPHOP DRIP,SACAR aka Lil Buddha
Rapstar,ST MAN
Right On Left,DJ Bishow
Maya,Chirag Khadka
Gorkhe,GOli
G.O.L.I.,GOli
Saacho Kura,Yabesh Thapa
Hereko Herei,SickJam
Baddie,LIL Rock Look
Milena Level Tero Bau Bola,G Bob
Savage,Balen
Tasvir,Yodda
TEII,VTEN
Intro,VTEN
Sakdina,Dong
Untitled 2,Dong
Himmat,VTEN
Ktm Grime,Yama Buddha
Think Smart,Yama Buddha
Killshot,Dong
Sabai Ho Laure,Laure
Sahi Ho,Nawaj Ansari
Tatto Na Chharo,VTEN
Tamaso,Uniq Poet
Parkhai,wild+
Aatmaghati,Dong
Kich Kich,GOli
Malai Bachauna,Yodda
Level,YABI The G.O.A.T
K Garne Life Ma,Chirag Khadka
Khatra Barz,Chirag Khadka
Tei Kta Ho,Laure
Stoner Life,Chirag Khadka
Chitra,Dong
Gorkhali Flo,Pggh
Bhag Bhag,G Bob
Khatra Barz,Uniq Poet
Kanchhi Ko Allare Jovan,Bidhan Shrestha
Nirmaya,Sanjeev Singh
Chulesima,Sanjeev Singh
Ye Hoi,Kranti Ale
Timi Pari (reprise),KANDARA
Fulachokiko Dandama,Kandara Group
Gandakiko Tiraima,Nepathya
Jindagiko ke Bharosa,Madhyanha Band
Deurali Ko Chautarima,Sanjeev Pradhan
Mutu Chhune,Paribesh Band
Timilai Piratile,1974 A.D
Nabhana,Adrian Pradhan
Natanu Ta Tanu,Raju Lama
Mannmannai,Karna Das
Chahana Sakiyo,Sashi Rawal
Timi Hau,Nabin K Bhattarai
Ubho Ubho Khasa,Raju Lama
Maya Garne Bani,Nepathya
Pallo Dandama,The Axe
Mero Pyaro Manchhe,Ciney Gurung
Aankhako Nani,Harish Mathema
Yo Saajha,Sunil Bardewa
Mero Saath,Nabin K Bhattarai
Meri Maya Phool Jasti,Sonam Gurung
Bholi Feri,Sanjeep Pradhan
Jadu Timro....,Deepu Gurung
Eauta Manchhe,Sugam Pokharel
Aaja Timro Kura,Uday Sotang
Mero Sathiharu Ko Majha,Babin Pradhan
Priyashiko Mann,Babin Pradhan
Jhari Pareko Din,Babin Pradhan
Chari Bharara,Manoj Shrestha
Anoutho Byatha,Karna Das
Dhunga Forna,Karna Das
Jaba Kohi Timro,Karna Das
Lajalu Muskan Le,Prasanna Kumar Shrestha
Chulesima,Samir Parajuli
Yahi Ho Ta Maya,Nabin K Bhattarai
Mero Lagi,Cobweb
Balamha,Cobweb
SAANJH MA PANI,NIMA RUMBA
PREETI BASYO,NIMA RUMBA
HURI BATAS,NIMA RUMBA
JUNELI RAATMA,NIMA RUMBA
BLOCK HEEL - ORIGINAL VERSION 1992,NIMA RUMBA
MISS CATWALK - ORIGINAL VERSION 1996,NIMA RUMBA
Thahai Bhayana,The Gloomy Guys
Kati Dherai,Deepesh Shrestha
Birsana Sakdina,Deepesh Shrestha
Bihaniko Mirmire,Bijay Karki
Ko Hola Mero,Mamata Dipbim
Baishakh Ma,Sharmila Bardewa
Tadha Najaideu Timi,Sanjay Shrestha
Jati Heryo,Mohan Bhusal
Oh Kanchi Kali Kali,Dhankutej
Jhinge Nana,Shiv Gang
Soltini Bhanee,Bidhan Shrestha
Saathi Ko Saathma,Sanup Paudel
Chanchale Kanchhi,Kandara Band
Mata Durdekhi Aanyen,Deep Shrestha
"Chatta Rumal (From ""Yatra"")",Dharmendra Sewan
Zindagi Ki Talash Mein,Kumar Sanu
Sunchadi Bhanda,Om Bikram Bista
Tadha Janey Priyashi,Zailors
Aiyo Rama,Falguni Pathak
"Chainejo Jindaganima - From(""Oonko Sweater[The Woolen Sweater]"")",Sujan Chapagain
JANE BHAYE JAM MAYA,Durgesh Thapa
Makai Bari Daryam Daryam,Bishal Sony
"Herda Herdai Maa (From ""Laaj Sharanam"")",Ashish Aviral
"Feri Jaalma (From ""Feri Resham Filili"")",Kali Prasad Baskota
"Bujina Maile (From ""Boksi Ko Ghar"")",Samikshya Adhikari
Maya Luki Luki,Tika Prasain
"Kale Ketale (From ""Aincho Paincho"")",Ashish Aviral
"Chhakka Panja Break Up Song (From ""Chhakka Panja 5"")",Babul Giri
Katta Handinchhu,Khem Century
Sali Mann Paryo,Kali Prasad Baskota
Pirim Nalaune,Aashish Sachin
Badal Barsa Bijuli,Prashna Shakya
Maya Maya Ho,Almoda Rana Uprety
Gojima Daam Chhaina,Rajanraj Siwakoti
Chatta Rumal,Dharmendra Sewan
Ma Yesto Geet Gaunchhu - Duet,Anju Pant
Yo Kura Gopya,Pramod Kharel
Tadha Vaye Pani - Male Version,Urgen Dong
Funtastic (Pani Paryo),Almoda Rana Uprety
Relli Mai,Tanka Budathoki
Siraima Sirbandi,Melina Rai
Piratiko Mitho Tirshana,Tara Prakash Limbu
Kasari Kasari,Tanka Budathoki
Galti Mero Chaina,Karan Raj Karki
Ghintang,Karma Tseten Ghale
Thamel Bazar (Loot 2),Kali Prasad Baskota
Ye Daju Nasamu (Chhakka Panja 2),Almoda Rana Upreti
Gorkha Paltan,Prashant Tamang
I Love You - Kamal K. Chhetri,Kamal k. Chhetri
Machhile Khane Kholi Ko Leu,Saroj Oli
Parana Parana,Ashish Aviral
Chhamak Chhamak,Santosh Sunar
Behulee (VJ),Vijay Ghimire
Simpal Simpal,Deepak Limbu
Driver Ma Mailo,Arjun Kaushal
Nira Jaile Risaune (Purano Dunga),Kali Prasad Baskota
Lathi Charge Nagara Mero Mayama,Ram Chandra Kafle
"Ajambary Laula Pirati (From ""Gangster Blues"")",Kali Prasad Baskota
Jhulke Ghaam Heraula Kanchha,RK Gurung Official
"Kutu Ma Kutu (From ""Dui Rupaiyan"")",Rajan Raj Siwakoti
Nai Malai Thaha Chhaina,Sanjib Parajuli
Wari Jamuna Pari,Khem Raj Gurung
Lajalu Mayalu,Urgen Dong
Ko Hola Tyo - Female Version,Asmita Adhikari
Kusume Rumal,Udit Narayan
