Title,Artist
K maya lagchha ra?,Ankit Babu Adhikari
"Piratiko Barko (From ""Shatru Gate"")",Kali Prasad Baskota
Parkha Parkha Mayalu (Mangalam),Krishna Kafle
"Chatta Rumal Kyamalu (From ""Aafno Manchhe"")",Shambhujeet Baskota
Mussukka Hasne,Swapnil Sharma
Jaalma,Kali Prasad Baskota
Man Magan,Deepak Bajracharya
Lau Na Ho (Acoustic),Rksquare
Lekaki - Kripa Unplugged,KANDARA
Saat Samundra,Axix
Lori,Pahenlo Batti Muni
Rama Rama,Nepathya
Yestai,Karma Band
Namuna - Kripa Unplugged,Sabin Rai & The Pharaoh
Zindagi Do Pal Ki,KK
"Jindabaad, Pt. 2",Jindabaad
Hatkela,Jindabaad
Graha,Tumbleweed Inc.
Rukh,Cobweb
Rewind,Jindabaad
Prashna,Monkey Temple Nepal
Timi Nai Bhana,The Axe
Drabya Dharma,Shree 3
Eutai Antya,Shree 3
Bhakundo,Shree 3
Shunya,Tumbleweed Inc.
Naya Shristi,Tumbleweed Inc.
Existence in Uncertainty,Shree 3
Balaatkari,The Shadows 'Nepal'
Bhram,ASM
Sidha Kura,Rockheads
Crush,Sharad Dipesh Diyali
Bipana,Shree 3
Abasaad,The Shadows 'Nepal'
Buddha,The Shadows 'Nepal'
"Jindabaad, Pt. 1",Jindabaad
Jawaaf,Robin And The New Revolution
Chyangba III,1974 Ad
Pandaemonium,Shree 3
Sanjha Ko Belama,Diwas Gurung
Aath din,The Shadows 'Nepal'
Aama,The Shadows 'Nepal'
Chhaina,Albatross
BFM,Jindabaad
Shades of you,Jindabaad
Astitwa - Rock,Cobweb
Pratibimba - Rock,Cobweb
Hellskitchen 2.0,Albatross
Abhiman,Albatross
Garman Ko Dhaba,Chakra Band
Jhilkey Fire,Jhilkey And The Company
K pais Nepali,The Shadows 'Nepal'
Swantantra Jiwan,Robin And The New Revolution
Akasaima,Monkey Temple Nepal
Chyangba & The Bloody Revolution,1974 A.D
Kasailai,The Edge Band
Bhaag,The Elements
Kathmandu,Tumbleweed Inc.
Tasbir,Monkey Temple Nepal
Janata Ma Appeal,Albatross
Mero Desh,The Shadows 'Nepal'
Chyangba Hoi Chyangba,Diwas Gurung
Muglan,Robin And The New Revolution
Rasaayan,Kaagaz Band Nepal
Baaje,Prasnasunya
Khoj,The Forefathers
Tero Bau,The Forefathers
Falaano (Briddhasram Tales),Prasnasunya
Mildeina,Prasnasunya
Raftaar,Sabin Rai & The Pharaoh
Hadbaazi,Cobweb
Astitwo Anyol,Harip Tatwo
Hid - Live at Rock Tandav,Grunchiez
ITTAKO JAWAF PATTHAR,Hermeneutics of Suspicion
Anyol (Reimagined),Prasnasunya
Ma Nepali,Yogesh Regmi
Ocean,The Forefathers
Panchi Haru,Jhilkey And The Company
Daya Baya,Reeyaz Music
Sindhuli Gadhi,Neetesh Jung Kunwar
Janai Harayeko Bahun,Prasnasunya
INDIA,ST MAN
Halka Halka,DJ Bishow
Sapana High,Yatrii
Samjhirakhnu,Chirag Khadka
Ana bikhayr,Jamesy
Parani,YABI The G.O.A.T
Akkha Cha,Mr. D
Jana Maan,Yatrii
Na Jiski,Dong
Mustang,Pggh
KADAK NEPALI,YABI The G.O.A.T
Aftharo,Yatrii
Samaya,Chirag Khadka
Din Raat,Yatrii
Wagwan - Remix,Jamesy
Tayari Ko Tayari,Dong
Kalo Badal,Yatrii
Bhawana,Yatrii
Kaile Kai,Dong
Kalo Badal - Slowed & Reverb Version,Yatrii
CRMNL - feat. Bobby Beatz,VTEN
Baani Laagyo,REX MUSIC
Khatra,Yatrii
Hatar Cha,Mr. D
Jiudaixu,YABI The G.O.A.T
Kina,Waiba Buddha
Angalney Chu (Hip Hop Version),Dong
Aattinchey,DJ Bishow
GUNASO,TUKI MUSIC
Sangharsa Garr,Viber Saimon
Time Chaina,REX MUSIC
DUI KINAR,BIJEN MUSIC
Sapana,SACAR aka Lil Buddha
JINDAGI VARI TIMI,Wild Martin
Panche Baja,GOli
Khatra Barz,Dong
Bhumari,Lov X
Khatra Barz,Yodda
Sacar Padhikari 2,Ease Is Easy
Nagara Aas,Yatrii
Aaija,Kavi G
Rato Rani,RATO RANI
A N X I E T Y,Viber Saimon
Khatra Barz,YABI The G.O.A.T
Chitthi,Bibash Jk
Kanchi,Bibash Jk
Yo Geet Timilai,DJ Bishow
King of NEPHOP,SACAR aka Lil Buddha
Manchhe Khattam,VTEN
Saral,Zeroo
3AM,YABI The G.O.A.T
Hola At Your Boy,Badshah
KANCHI,YABI The G.O.A.T
MYACHIKNEY,LIL NORZZA
Baazigar,YABI The G.O.A.T
Nepali Ho,VTEN
Aawaz,Mc Flo
PRASHNA,Waiba Buddha
Yo Basanta,Kavi G
Addicted To Your Touch,SACAR aka Lil Buddha
Chatak,Dong
Rollie,Chirag Khadka
Sandesa,GOli
This Is 555,Chirag Khadka
Adhuro Maya,Yodda
Bishram - Studio Version,Slim Boss
Nasodha Prashna,Slim Boss
Khusi chu mah,REX MUSIC
Thatheanaw,Rigden Nadik
Magic,SACAR aka Lil Buddha
Bye Bhannu La,LIL NORZZA
Ragini,Vyoma
Antim Bidai,Arun Shahi
Chyau,Chirag Khadka
DAAMI,YABI The G.O.A.T
Marijau,Waiba Buddha
Gambling,VTEN
KUZAN,Kavi G
Na Hola Bheta Hamro,GOli
GUNASO 2.0,TUKI MUSIC
Kina Maan Mandaina,GOli
Bujhideu,VTEN
Strain,VTEN
Simsime Paani Rev,VTEN
Time Chaina,Jay Author
King of NEPHOP,Lil Buddha
Sapana,beatsbyhype
Halkhabar,VTEN
Pagalpan,Yama Buddha
Challenge,Yama Buddha
Gtfoh,Yama Buddha
Gimme That Beat,Yama Buddha
Heaven,Uniq Poet
Parkhaima,Raju Lama
Gajalu Ti Thula Thula,Deepak Jangam
Mohani Lagla Hai,Narayan Gopal
Timilai Dekhera,Raju Lama
Ke Bhanne Hamro Samay,Indrajeet Mijar
Chameliko Phoolma Maya Basechha,Udit Narayan
Raatko Rani Fulejhai,Danny Denzongpa
Mul Hau Bhane,Hemant Sharma
Mero Manaiko Phool Tipi,Udit Narayan
Kafal Gedi Kutukkai,Mahesh Budathoki
Gala Ratai Gala Ratai,Milan Newar
Mohani Lagla Hai,Rakesh Karkidoli
Rituharuma Timi,Ram Thapa
Makhamali Pachhyaurile,Udit Narayan
Lahure,Chhewang Lama
Aakashaima,Hari Karmacharya
Timrai Maya,Chhewang Lama
Manparaune Hajar,Ram Krishna Dhakal
Dashain Tihar,Sugam Pokharel
Timro Mayale Baadhera Raakha (Female Version),Ashmita Adhikari
Choli Ramro,Kunti Moktan
Chhitko Gunyeu,Ram Krishna Dhakal
Chiya Ko Botaima - K Yo Maya Ho Cover,Arjun Katuwal
"Lahanale Jurayoki (From ""Darpan Chhaya"") - Female Vocal",Sadhana Sargam
Kahile Timro Pachhyourima,Udit Narayan
Gorkha Paltan,Narayan Rayamajhi
Ye Kanchha Thaitai Ma,Narayan Gopal
Aasare Mahinama,Ajay Singh
Usle Jati Maya Timlai,Rameshraj Bhattarai
Tirkha Lage Nirmaya ( Hami Teen Bhai ),Udit Narayan Jha
Maya ta Maya,Narayan Gopal
"Phoolpati Bhakera Manakamana (From ""Bharosa"")",Udit Narayan
Piratiko Mitho Trisana,Bharati Ghimire
Janam Janam Jiula Sangai,Ananda Karki
Lekali He Choya Ko,Ram Thapa
Wari Jamuna Pari Jamuna,Khemraj Gurung
Ukali Orali Gardai,Sonu Nigam
Aakashaima Chil ho ki besara,Babina Rai Kiratee
Majhi Daile,Udit Narayan
Banmarale Banai,Udit Narayan
Isarale Bolaunu,Bhupinder Singh
Yo Saino Maya Ko,Babul Supriyo
Aaja Bahrahate Patuki,Sadhana Sargam
Aaja Man Udera Bhagchha,Udit Narayan
Hajurbale Bhanethe,Kumar Kanchha
Pahadko Mathi Mathi,Narayan Gopal
Samjhana Birsana,Udit Narayan
Bujhe Hunchha Kura,Melina Rai
Poe Paryo Kale,Ram Chandra Kafle
Nachyo Maichang,Sagar Bal
Samjhana Birsana,Tarzan Lepcha
Jati Maya Laye Pani,Arun Thapa
Aaja Kina Saathi,Pushpa Nepali
Siri Ma Siri Ni Kanchha,Gyanu Rana
Baja Ghankaudai Kal Kal Khola Saileji ( Hami Teen Bhai ),Roshan Gurung
Baan Ma Fulyo Phool,Aagantuk Kharel
Kina Kina Timro Tasbir,Deepak Jangam
Bhanchhan Kohi Jindagani,Shila Bahadur Moktan
Chaubandima Patuki,Aastha Raut
Himchulima Gham Lagyo,Ram Chandra Kafle
Jhamke Guleli,Kamali Kanta Bhetuwal
"Junko Jyoti (From ""Nai Nabhannu La"") - Male Vocals",Deepak Limbu
Mayako Doli Chadai,Yash Kumar
Oye Jhuma Jhumkawali,Pramod Kharel
Mann Saili,Aashusen Lama
Piratiko Mitho Trisana,Indrajeet Mijar
Bagaichama Najau Timi,Udit Narayan
"Piratiko Mitho Tirsana (From ""Bir Bikram 2"")",Melina Rai
Jail pani sahula,Melina Rai
Fijeko Kesh,Ekdev Limbu
Maya Garneko,Ram Krishna Dhakal
Chhaina Malai Pir,Sanjib Parajuli
"Siraima Sirbandi (From ""How Funny"")",Melina Rai
Feri Feri Feri Nai Nabhannu La - Female Version,Basanta Sapkota
Baby I Love You,Tara Prakash Limbu
"Ke Sachhai Timi (From ""Home Work"")",Tara Prakash Limbu
Jindagiko Duee Pal,Tara Prakash Limbu
"Rupai Mohani (From ""Shatru Gate"")",Tanka Budathoki
Simple Simple Kanchhi Ko,Deepak Limbu
Aayo Timro Yaad Aayo,Deepak Limbu
"Magera Paune Bhaye Ma (From ""Khalnayak"")",Deepak Limbu
Mero Kalpanama,Deepak Limbu
K Maya Lagcha Ra?,Nishan Bhattarai
"Visit Visa Ma - From ""Dal Bhat Tarkari""",Nishan Bhattarai
Wari Maya,Tilok Newar
Siriri Hawale - Original,Tilok Newar
"Junko Jyoti (From ""Nai Nabhannu La"") - Female Vocals",Rajina Rimal
Ghamko Maya,Narayan Rayamajhi
"Chiya Coffee Khau(From ""Nai Nabhannu la 4"")",Sugam Pokharel
Machhi Marana,Paawal Chamling Rai
Choli Ramro,Shila Bahadur Moktan
Lali Gurans Ajambari,Shila Bahadur Moktan
Resham Firiri,Raju Pariyar
Nabheti Nabheti,Shiva Pariyar
Driver Ma Mailo,Ram Chandra Kafle
Uhi Mulako Chana,Jyoti Magar
Timi Aauchauki Bhani (Ko Hola Tyo 2),Sunil Giri
A Kanchi,Sunil Giri
Chhuttiyera Timi Sanga,Deepak Sharma
Udayo Udayo - Original,Tilok Newar
Surke Thaili,Rajan Raj Siwakoti
"Rahar Chha Sangai (From ""Captain"")",Sugam Pokharel
Sarara Sarara,Suresh Adhikari
Jun Haina Ful Haina Jun Tipi Diun ki,Asmita Adhikari
Fula Ta Fulyo Keshari,Bishwo Dong
Tinau Kholapari,Ram Chandra Kafle
Nachha Yo Man,Udit Narayan
Jharanako Chiso Pani - Male Version,Raju Lama
Bhanera Hune Bhaye,Raju Lama
Yati Chokho Yati,Gopal Yonjan
Kaha Hola Ghar Bara,Karma Band
Ma Maya Laudina,Raju Lama
Shradha Ko Phool,Narayan Gopal
Kasari Ma Bhule,Madhu chhetri
Kehi Mitho Baat Gara,Narayan Gopal
Eauta Manchhe Ko Maya Remake,Deepak Jangam
"Lau Lau Aaye Lili Laai (From ""Yo Mayako Sagar"")",Shambhujeet Baskota
Laz Ko Lali,Udit Narayan
Sari Kurta,Bigyani Parajuli
O Meri Priyasi,Udit Narayan
Manai Mero Changa Bho,Manila Sotang
Najau Tada,Rahul Vaidya
"Phool Hoina (From ""Rose"")",Pratap Das
Jaga Lamka Chamka,Ram Krishna Dhakal
Mayale Bolayo,Udit Narayan
Pahilo Pahilo Maya Male,Dipak Limbu
Malai Pani Angrejima,Rajesh Payal Rai
Maya Ta Maya-Timro Maan Ma,Narayan Gopal
Ukali Jada,Rajesh Payal Rai
Ma Ta Marchhuki Kya Ho,Indira Joshi
Chyangba Hai Chyangba,Gyanu Rana
Lekaki He Maya,Kandara Band
Siran Ma Photo Cha,Nepathya
Suna Bhanana,Udit Narayan
Tungna Ko Dhunma,Indrajeet Mizar
Parkhaima,Raju Lama-mongolian Heart
Kya Dami Bho,Chandi Prasad Kafle
Halla Chalecha,Raju Lama
Timile Ta Hoina Timra,Bachchu Kailash
Gothalo Jada,Numa Subba
Hongkong Pokhara,Kandara Band
तिमीलाई हेर्ने बानी पर्यो Timilai Herne Baani Paryo,Pushpan Pradhan
Timro Man Badaliye cha,Yash Kumar
Khairo Khairo,Adrian Pradhan
Ma Kahile Haseko Thiye,Yash Kumar
Machi Marna Jau,Bidhan Shrestha
Musu Musu,Prashant Tamang
Badal Pariko Deshbata,Raju Lama-mongolian Heart
Aankha Aankha Boleni,Deepak Limbu
Deurali Ko Chautarima,Sanjeep Pradhan
Herda Herdai,Raju Lama
Laija Re,Hemanta Rana
Deurali Bhanjyang,Sunil Giri
Chhekyo Chhekyo,Rabin Shrestha
Jeevan Ho Gham Chhaya-Yo Jindagani,Amrit Gurung-nepathya
Sambodhan Timilai,1974 A.D
"Lai Lai (From ""Prasad"")",Ketan Chhetri
Yee Aankhama - Jr. Version,Basanta Sapkota
Jati Maya Laya Pani,1974 A.D
Saili,Hemanta Rana
Naya Naya Sajau Hai Sansar,Udit Narayan
Ko Hola Mero,Asha Bhosle
Ratri Basaima,Rana Bahadur Budhathoki
Kalakala Salasala,Aruna Lama
Phariyalai Bhuima,Gopal Yonjan
Lahana Le Jurayoki,Sadhana Sargam
Ma ta Aaba Risawchhu,Kumar Sanu
Sapanabhai Aankhama,Sadhana Sargam
Samjhana Birsana,Deepa jha
Ekaichhin Parkha,Tara Sharma
Aba Chot Harule Piroldaina Malai,Yam Baral
Saune Jharima,Asha Bhosle
Pahadko Maathi Maathi,Narayan Gopal
Dali Dali,Sadhana Sargam
Junta Lagyo Tarale,Bharati Ghimire
Chhinini Chakki Chakki,Deepa jha
Batashle Udai Lagyo,Kumar Kanchha
Mohani Laglahai,Narayan Gopal
Mohani Maya Ko Hoki,Kumar Kanchha
Lali Jovan,Poornima
Chaita Maas,Shambhujeet Baskota
K Bhanu Ma Kaso Gari Pare,Shambhujeet Baskota
Chithi Aayena,Kavita Krishnamurthy
Timi Rimjhim,Anupama Desh Pandey
Bandha Mayale,Udit Narayan
Behuli,Deepa jha
Kasari Bhanu Ma Manko Kura,Sadhana Sargam
Kopilama rang chadyo,Aasha Bhosle
Maile Geet Chhodi Aayen,Prakash Shrestha
Yo Katha Ho,Kumar Sanu
Kina Badhdaichha Dhukdhuki,Asha Bhosle
Sainiklai Tundikhel,Umesh Pandey
Ramjane,Umesh Pandey
Paluwa Paluwa Bhari,Sanjeevani
Yo Duithopa Aansu,Kumar Sanu
Shanchi Rakhu Jasto Lagchha,Kumar Sanu
Chiya Barima Ho,Deepa jha
DUI Dinko Jeendagi,Udit Narayan
Sarangiko Dhunle,Sadhana Sargam
Yo Duithopa Aansu,Sadhana Sargam
Reli Khola Bagara,Bharati Gajamer
Ma Pyar Bechidinchhu,Asha Bhosle
Nepali Nepali,Bharati Ghimire
Chhori Ko Janma,Narayan Gopal
Maya Basyo Mutuma,Komal oli
Rato Tika Nidharma,Umesh Pandey
Jangalai Ma Kharayo Jarayo,Satya Raj Acharya
Goli Sisha Ko,Umesh Pande
Maya Pritiko Chokho Katha,Aruna Lama
Jau Hinda Pokhara,Shambhujeet Baskota
Makhamali Maya,Sadhana Sargam
Tasbir Mai Yasto,Sharmila Bardewa
Bansuriko Dhun,Prakash Shrestha
Lekhideu Timro Nam,Prem Dhoj Pradhan
Aba Yo Baato Mero Ho Ki,Indrajeet Mijar
Timi Nabhaye,Udit Narayan
Mohani Mayako Ho Ki,Kumar Kaanchha
Maya Aafai Chokho Hunchha,Udit Narayan
Aamaile Bhanthe,Udit Narayan
Suna Katha Eauta Geet,Danny Denzongpa
Yo Hajurko Muhar,Devika Pradhan
Yo Gaun Ko Thito,Aditya Narayan Jha
Saptarang Phulai Phulyo,Prakash Shrestha
Musu Musu Hasideu,Sambhujit Baskota
Timi Chhau Kaha,Deepa jha
Malai Bhaisakyo Bore,Shambhujeet Baskota
Lau Lau Aayo Lily,Shambhujeet Baskota
Tyo Dada Pari Yo Dada Wari,Udit Narayan
Laideu Maya,Shambhujeet Baskota
Lukichhipi Lukichhipi,Shambhujeet Baskota
Kina Maan Hunchha,Sadhana Sargam
"Rato Tika Dashain Ko Jamara (From ""Man Mandir"")",Sadhana Sargam
Pareli Ma Aai,Kavita Krishnamurthy
Hijo Bhanda Aaja,Sadhana Sargam
Soche Jasto Hunnna,Sadhana Sargam
"Baisalu Manle Rojeko (From ""Darpan Chhaya"")",Udit Narayan
"Tyo Danda Pari (From ""Darpan Chhaya"")",Udit Narayan
Dhadkinchhau,Udit Narayan
Kahile Maya Gham Jastai,Sachin Singh
Maya Basyo Mutuma,Yam Baral
Kaso Kaso Maya Basyo,Prabha Bharti
Yo Bato Kahan Jane Ho,Indrajeet Mijar
Bagi Jane Pani Ko,Prakash Shrestha
Kati Auli Agli Bhaye,Kavita Krishnamurthy
Aankhaima Kasaiko,Narayan Gopal
"Gharma Chhe Chitikka (From ""Mitini"")",Umesh Pandey
"Him Nadi Jhai Yo Maya (From ""Aafno Manchhe"")",Udit Narayan
"Paschim Pokhara (From ""Mr. Ram Krishne)",Umesh Pandey
Ram Jane,Umesh Pande
Aaja Baraha Hate Patuki,Sadhana Sargam
Birata Ko Chino,Narayan Gopal
Joon Ta LagyoTarale,Bharati Ghimire
Sachirakhu Jasto Lagchha,Bharati Ghimire
Barsa Timi Chham Chham Gari - Chhoro,Udit Narayan
Maya Ta Maya,Narayan Gopal
Jhutho Hoina Yo Kura Sacho Chha,Udit Narayan
Mayaluko Maya Mitho - SUPER STAR Movie Song,Udit Narayan
Bhulu Bhulu Lagyo Malai,Sabin Limbu
Hawa Sarara,The Sky Band
Dandaima Mela Lagechha,Durga Kaji Shakya
Timro Hamro,Kabindra Shrestha-the Sky Band
Chaina Timro Bhara,Yogeshwor Amatya
Aakashai Dhakyo,The Sky Band
Jindagima,Durga Kaji Shakya
China Company,Bro.- Sis. Band
Chari Udyo Badal Chuna Lai - Instrumental,Creative Brothers
Dhunga Phorna,Madhyanha Band
Rangau Ki Ma ?,NIMA RUMBA
Jhyammai Chautari,D-Marcha
Sayad Timi Nai,Nabin K Bhattarai
Dobato,Nabin K Bhattarai
Aankha Ma Timilai,Nabin K Bhattarai
Chhaina Joon Kina,Nabin K Bhattarai
Dar Lagchha,Nabin K Bhattarai
Gandakiko Tiraima,Nabin Gurung
Herda Ramro,Dharmendra Sewan
Timro Najarle,The Axe
Bideshiyara Gaein,Kandara Band
Aanganai Bhari,Rabin Shrestha
Aankhaima Jhalajhali,Suk Gurung
Timilai Mann Paraunchhu,Nabin K Bhattarai
Kaha Hideki,Kandara Band
Goreto Gaunko,Amrit Gurung-nepathya
Kale Bhana,Sambhoj Malla
Suna Euta Katha,Sambhoj Malla
Jaba Sanjha Parchha,Sambhoj Malla
Seto Ghoda,Sambhoj Malla
Maya Launata,Bharat Sitaula
O Riya,Bharat Sitaula
Bihani Ma,Sunil Bardewa
Kina Yesari Bina Arthale Maya Maaryeu - Bale Entertainment,Pramod Nirwan
Muglan,Sanjeev Singh
Baleko Aago,Rajiv Lohani
Tagaroma Rumal Rakhi,Bibek Shrestha-kandara Band
Laijare,Hemanta Rana
Aakash Bata,Dibya Subba
Basama Chhaina Mero Maan,Rajan Ishan
Samjhana Ma,Sugam Pokharel
Kina Maya Ma,Udesh Shrestha
Aare Kya Naam,Aashusen Lama
Bajra,Shirish Khadka
Namana Laz Yasari,Prem Dhoj Pradhan
Gajalu Ti Thula Thula,Gulam Ali
Chahi Rahanchhu,Bibek Nepal
Asarai Mainama,Diwas Gurung
Timro Tyo Hasilo,Deepak Kharel
Timile ta Hoina,Bachu Kailash
Siri Ma Siri,Narayan Gopal
Pohar Saal Khushi Fatda,Aruna Lama
Yesto Pani Hudo Raichha,Phatteman
Marna Baru Garho Hunna,Phatteman
Ye Kanchha Malai Sunko,Aruna Lama
Yeti Chokho Yati,Narayan Gopal
Shauq,Amit Trivedi
Balaatkaari Lai Faansi De,The Shadows 'Nepal'
Universal Mind,Ayurveda
Maachi Kadaile,Diwas Gurung
Haami Aayou,Diwas Gurung
Mitho Bihani,Topi
Jani Jani,Rohit John Chettri
Hamro Sapana,Topi
Badlido Samaj,Tumbleweed Inc.
Sleepless Night,Tumbleweed Inc.
Ma.Pa.Se,Tumbleweed Inc.
Karagar lai Chitthi,Pahenlo Batti Muni
Purbai Tira,Monkey Temple Nepal
Nepal Sworga Bhanda Thulo Cha,Anuprastha
Malai Bachauna,Topi
Sirima Siri,Abhaya & The Steam Engines
Khatey,The Voices Unheard
Ride to Hell,Girish And The Chronicles
Rock 'n' Roll Is Here to Stay,Girish And The Chronicles
Indriya,The Elements
President,Tumbleweed Inc.
Yo Mann Ta Mero Nepali Ho,1974 A.D
Herda Ma Ramro,Diwas Gurung
Asaar,Bipul Chettri
Mountain High,Bipul Chettri
Simana,The Elements
Prayas,Yabesh Thapa
Dalli,Brijesh Shrestha
Saas,Ankit Shrestha
Kaalo Pankha,Ankit Shrestha
Eutai Aakash,Ankit Shrestha
Maya Pheri,Simma Rai
Nabola Masanga,Garage Music
SOCH,Noxious Shah
Chhaya,The Root-Less
Tha Chhaina,The Root-Less
Samjhana Ko Lahara,Ulto Pulto
Maja Ko Vul,Oasis Thapa
Timro Mitho Boli,Brijesh Shrestha
Katha: Episode V - Alapatra,Sajjan Raj Vaidya
Kholau Ramera,Vek
Firfirey,Pyne
Timilai,Kelsang Shrestha
Makhamali Pachheuri,Pyne
HALKA RISAYERA,Prashant ezekiel rai
AJA FERI,Prashant ezekiel rai
Tatepate Bhitta,Pahenlo Batti Muni
Aaja Feri,Swoopna Suman
Samaya,Bipul Chettri
Aayen Ma,Sajjan Raj Vaidya
Jhalamala Alamala,Devendra Bablu
Kamana,Yabesh Thapa
Raatko Rani Fulejhai,Danny Denjongpa
Badal Banaideu,Deepak Kharel
Orali Lageko,Ram Krishna Dhakal
Kanchi Hey Kanchi,Prakash Shrestha
Namana Laaja,Prem Dhoj Pradhan
Maya Namara,Prem Dhoj Pradhan
Tara Matra Hoina,Prem Dhoj Pradhan
Tori Phulyo,Prem Dhoj Pradhan
Para Laijau Phoolharu,Prem Dhoj Pradhan
Galat Modma Jaba,Prem Dhoj Pradhan
Kasari Ma Bhule,Narayan Gopal
Yo Samjhine Maan Chha,Narayan Gopal
Samjhana Birsana Salalala,Udit Narayan
Chiso Chiso Hawa Ma,Danny Denzongpa
Maya Ke Hola Behuli,Udit Narayan
Herana Hera Kanchha,Aruna Lama
Himal Sari,Aruna Lama
Jhimkaideu Pareli,Danny Denjongpa
Hiun Bhanda Chiso,Danny Denjongpa
Samaya Panchhi Ho,Danny Denjongpa
Manko Kuralai,Danny Denzongpa
Kati Baschyau Maitikai,Ram Thapa
Thokana Madal Thoka,Ram Thapa
Kati Khola Bagisake,Phatteman
Saunko Jhari Bani,Narayan Gopal
Malai Nasodha,Narayan Gopal
Timilai Achel Kaha,Ram Thapa
Rato Ra Chandra Surya,Phatteman
Sannani Ko Galaima,Phatteman
Ratko Rani Phulejhai Sajhama,Danny Denzongpa
